NRO_CLIENTE,MONTO,FECHA,TIPO_OPERACION
100000,312.63,2026-05-10,PAG
100000,243.86,2026-05-10,DEP
100001,261.85,2026-05-10,DEP
100001,235.81,2026-05-10,DEP
100002,355.44,2026-05-10,DEP
100003,253.68,2026-05-10,PAG
100004,52.54,2026-05-10,PAG
100004,387.49,2026-05-10,PAG
100005,327.88,2026-05-10,DEP
100005,283.34,2026-05-10,DEP
100006,34.58,2026-05-10,PAG
100007,249.51,2026-05-10,RET
100008,291.51,2026-05-10,DEP
100008,215.76,2026-05-10,DEP
100009,22.31,2026-05-10,DEP
100009,170.19,2026-05-10,PAG
100010,104.75,2026-05-10,PAG
100011,390.17,2026-05-10,RET
100011,182.15,2026-05-10,PAG
100012,51.38,2026-05-10,RET
100012,31.74,2026-05-10,RET
100013,211.89,2026-05-10,PAG
100013,317.4,2026-05-10,DEP
100014,241.67,2026-05-10,PAG
100014,387.16,2026-05-10,RET
100014,22.95,2026-05-10,PAG
100015,29.01,2026-05-10,PAG
100016,80.13,2026-05-10,RET
100017,200.54,2026-05-10,PAG
100017,348.75,2026-05-10,DEP
100018,70.38,2026-05-10,PAG
100018,156.74,2026-05-10,RET
100019,163.34,2026-05-10,RET
100019,86.74,2026-05-10,DEP
100020,68.2,2026-05-10,DEP
100020,238.88,2026-05-10,DEP
100021,352.27,2026-05-10,PAG
100021,184.9,2026-05-10,PAG
100022,289.63,2026-05-10,RET
100022,124.85,2026-05-10,DEP
100023,122.06,2026-05-10,RET
100024,223.1,2026-05-10,DEP
100024,93.45,2026-05-10,PAG
100025,99.1,2026-05-10,DEP
100026,257.65,2026-05-10,RET
100027,371.26,2026-05-10,RET
100027,349.99,2026-05-10,DEP
100028,258.75,2026-05-10,DEP
100028,395.87,2026-05-10,DEP
100029,216.16,2026-05-10,DEP
100029,261.21,2026-05-10,PAG
100030,244.04,2026-05-10,RET
100030,133.2,2026-05-10,PAG
100031,354.17,2026-05-10,RET
100032,290.22,2026-05-10,RET
100032,359.84,2026-05-10,RET
100033,133.23,2026-05-10,DEP
100034,252.25,2026-05-10,DEP
100034,330.45,2026-05-10,DEP
100035,293.54,2026-05-10,RET
100035,74.81,2026-05-10,DEP
100035,217.27,2026-05-10,PAG
100036,47.04,2026-05-10,PAG
100037,276.81,2026-05-10,PAG
100037,106.65,2026-05-10,PAG
100038,255.55,2026-05-10,PAG
100038,86.43,2026-05-10,RET
100039,92.15,2026-05-10,RET
100039,85.55,2026-05-10,PAG
100040,324.05,2026-05-10,RET
100041,66.48,2026-05-10,DEP
100042,293.28,2026-05-10,RET
100042,150.61,2026-05-10,RET
100042,42.01,2026-05-10,DEP
100043,186.46,2026-05-10,DEP
100044,79.6,2026-05-10,RET
100044,377.63,2026-05-10,DEP
100045,260.79,2026-05-10,DEP
100045,127.51,2026-05-10,DEP
100046,327.91,2026-05-10,PAG
100047,245.09,2026-05-10,DEP
100048,61.69,2026-05-10,RET
100048,101.88,2026-05-10,PAG
100049,388.3,2026-05-10,DEP
100049,291.1,2026-05-10,DEP
100050,292.07,2026-05-10,DEP
100051,243.3,2026-05-10,RET
100051,156.68,2026-05-10,DEP
100052,331.49,2026-05-10,PAG
100052,374.2,2026-05-10,DEP
100052,103.1,2026-05-10,DEP
100053,110.72,2026-05-10,PAG
100054,241.86,2026-05-10,DEP
100054,383.26,2026-05-10,DEP
100055,219.24,2026-05-10,RET
100056,341.82,2026-05-10,DEP
100056,84.92,2026-05-10,RET
100056,305.07,2026-05-10,RET
