NRO_CLIENTE,MONTO,FECHA,TIPO_OPERACION
100000,99.67,2026-05-10,PAG
100000,156.95,2026-05-10,PAG
100001,383.6,2026-05-10,RET
100002,361.75,2026-05-10,PAG
100002,53.21,2026-05-10,DEP
100002,343.77,2026-05-10,RET
100003,8.11,2026-05-10,RET
100004,371.37,2026-05-10,RET
100004,123.85,2026-05-10,DEP
100005,122.48,2026-05-10,DEP
100005,366.78,2026-05-10,PAG
100006,130.29,2026-05-10,PAG
100006,165.48,2026-05-10,DEP
100007,113.24,2026-05-10,DEP
100007,330.16,2026-05-10,RET
100007,191.08,2026-05-10,RET
100008,370.97,2026-05-10,RET
100008,288.37,2026-05-10,DEP
100009,330.64,2026-05-10,PAG
100009,108.08,2026-05-10,DEP
100010,143.98,2026-05-10,PAG
100011,293.05,2026-05-10,PAG
100012,296.43,2026-05-10,RET
100013,279.61,2026-05-10,DEP
100014,258.34,2026-05-10,DEP
100015,253.91,2026-05-10,PAG
100015,58.76,2026-05-10,RET
100016,84.03,2026-05-10,RET
100016,128.92,2026-05-10,DEP
100017,48.78,2026-05-10,DEP
100017,208.96,2026-05-10,PAG
100018,306.45,2026-05-10,PAG
100019,275.87,2026-05-10,RET
100019,183.34,2026-05-10,PAG
100020,57.74,2026-05-10,DEP
100020,276.55,2026-05-10,RET
100021,320.81,2026-05-10,DEP
100021,38.34,2026-05-10,RET
100022,76.85,2026-05-10,RET
100022,378.18,2026-05-10,PAG
100023,93.67,2026-05-10,DEP
100024,369.63,2026-05-10,PAG
100025,246.74,2026-05-10,DEP
100025,363.2,2026-05-10,RET
100026,83.32,2026-05-10,PAG
100027,341.47,2026-05-10,DEP
100027,163.41,2026-05-10,RET
100028,242.16,2026-05-10,DEP
100028,40.18,2026-05-10,RET
100029,72.2,2026-05-10,PAG
100029,51.35,2026-05-10,PAG
100030,212.71,2026-05-10,RET
100031,331.77,2026-05-10,RET
100031,51.81,2026-05-10,PAG
100032,85.24,2026-05-10,RET
100032,118.74,2026-05-10,RET
100033,155.92,2026-05-10,RET
100033,343.25,2026-05-10,PAG
100034,90.15,2026-05-10,RET
100035,292.05,2026-05-10,DEP
100036,170.24,2026-05-10,RET
100037,318.02,2026-05-10,DEP
100037,119.63,2026-05-10,RET
100038,98.02,2026-05-10,RET
100039,363.39,2026-05-10,RET
100039,235.25,2026-05-10,PAG
100039,185.97,2026-05-10,DEP
100040,190.21,2026-05-10,RET
100041,389.89,2026-05-10,RET
100042,276.31,2026-05-10,PAG
100043,156.48,2026-05-10,RET
100043,295.76,2026-05-10,RET
100044,33.86,2026-05-10,PAG
100044,28.21,2026-05-10,RET
100045,372.77,2026-05-10,RET
100046,363.75,2026-05-10,PAG
100046,376.03,2026-05-10,PAG
100047,285.28,2026-05-10,DEP
100047,7.12,2026-05-10,PAG
100048,249.76,2026-05-10,RET
100049,391.12,2026-05-10,PAG
100049,151.51,2026-05-10,PAG
100050,21.24,2026-05-10,DEP
100050,107.82,2026-05-10,PAG
100050,199.67,2026-05-10,RET
100051,351.77,2026-05-10,DEP
100051,40.41,2026-05-10,PAG
100052,214.52,2026-05-10,DEP
100052,107.86,2026-05-10,RET
100053,22.44,2026-05-10,DEP
100053,202.19,2026-05-10,RET
100054,300.39,2026-05-10,RET
100055,116.76,2026-05-10,RET
100055,247.11,2026-05-10,RET
100056,209.2,2026-05-10,RET
100056,357.61,2026-05-10,RET
100057,296.06,2026-05-10,RET
100058,306.65,2026-05-10,DEP
100059,224.49,2026-05-10,PAG
100059,256.48,2026-05-10,RET
100060,26.02,2026-05-10,DEP
100061,26.55,2026-05-10,DEP
100062,19.17,2026-05-10,RET
100062,69.6,2026-05-10,RET
100063,177.39,2026-05-10,RET
100063,21.11,2026-05-10,RET
100064,395.58,2026-05-10,PAG
100065,196.65,2026-05-10,RET
100065,49.43,2026-05-10,PAG
100066,347.42,2026-05-10,DEP
100067,143.09,2026-05-10,DEP
100068,347.93,2026-05-10,DEP
100069,334.81,2026-05-10,PAG
100070,205.95,2026-05-10,RET
100070,227.48,2026-05-10,PAG
100071,236.34,2026-05-10,PAG
100072,399.21,2026-05-10,DEP
100072,212.78,2026-05-10,PAG
100072,76.32,2026-05-10,DEP
100073,102.23,2026-05-10,RET
100073,272.38,2026-05-10,RET
100074,15.26,2026-05-10,PAG
100074,392.63,2026-05-10,DEP
100075,160.7,2026-05-10,PAG
100076,372.01,2026-05-10,DEP
100077,335.61,2026-05-10,DEP
100077,16.41,2026-05-10,RET
100078,333.13,2026-05-10,PAG
100078,194.54,2026-05-10,PAG
100079,382.3,2026-05-10,PAG
100079,264.91,2026-05-10,RET
100080,388.06,2026-05-10,PAG
100081,250.83,2026-05-10,RET
100081,133.34,2026-05-10,PAG
100082,399.93,2026-05-10,PAG
100082,56.08,2026-05-10,DEP
100083,321.62,2026-05-10,RET
100084,132.65,2026-05-10,DEP
100084,298.8,2026-05-10,PAG
100085,381.0,2026-05-10,RET
100085,41.56,2026-05-10,RET
100086,75.31,2026-05-10,RET
100086,40.23,2026-05-10,DEP
100087,69.36,2026-05-10,RET
100087,117.55,2026-05-10,PAG
100087,65.88,2026-05-10,RET
100088,198.88,2026-05-10,RET
100089,295.68,2026-05-10,RET
100089,361.98,2026-05-10,PAG
100090,56.86,2026-05-10,PAG
100090,42.96,2026-05-10,RET
100091,207.5,2026-05-10,RET
100092,180.95,2026-05-10,RET
100093,193.19,2026-05-10,PAG
100093,242.13,2026-05-10,DEP
100094,303.81,2026-05-10,RET
100094,247.48,2026-05-10,RET
100095,254.12,2026-05-10,DEP
100096,20.97,2026-05-10,RET
100097,389.44,2026-05-10,PAG
100098,93.57,2026-05-10,PAG
100098,286.89,2026-05-10,RET
100099,213.28,2026-05-10,PAG
100100,212.25,2026-05-10,RET
100100,189.95,2026-05-10,DEP
100101,363.35,2026-05-10,RET
100102,123.66,2026-05-10,DEP
100102,275.3,2026-05-10,RET
100103,337.41,2026-05-10,PAG
100103,173.95,2026-05-10,PAG
100104,23.85,2026-05-10,DEP
100104,367.33,2026-05-10,PAG
100105,47.51,2026-05-10,RET
100105,168.14,2026-05-10,RET
100106,266.04,2026-05-10,PAG
100106,326.07,2026-05-10,RET
100106,105.67,2026-05-10,DEP
100107,308.62,2026-05-10,DEP
100107,50.0,2026-05-10,PAG
100108,187.84,2026-05-10,DEP
100109,337.95,2026-05-10,DEP
100109,37.9,2026-05-10,PAG
100110,122.57,2026-05-10,PAG
100110,291.02,2026-05-10,PAG
100111,182.73,2026-05-10,RET
100111,139.83,2026-05-10,DEP
100112,88.37,2026-05-10,DEP
100112,300.08,2026-05-10,PAG
100113,107.43,2026-05-10,PAG
100114,47.0,2026-05-10,PAG
100114,12.08,2026-05-10,RET
100115,51.09,2026-05-10,DEP
100115,264.04,2026-05-10,RET
100115,278.26,2026-05-10,PAG
100116,386.49,2026-05-10,PAG
100116,291.74,2026-05-10,RET
100117,249.31,2026-05-10,PAG
100118,147.49,2026-05-10,PAG
100118,385.44,2026-05-10,PAG
100118,161.02,2026-05-10,RET
100119,39.62,2026-05-10,DEP
100119,10.48,2026-05-10,DEP
100120,327.31,2026-05-10,PAG
100121,388.36,2026-05-10,DEP
100121,87.65,2026-05-10,PAG
100122,62.34,2026-05-10,DEP
100122,177.14,2026-05-10,PAG
100123,343.98,2026-05-10,PAG
100124,80.41,2026-05-10,RET
100125,309.04,2026-05-10,DEP
100126,192.23,2026-05-10,DEP
100126,51.0,2026-05-10,DEP
100126,296.82,2026-05-10,RET
100127,385.73,2026-05-10,RET
100127,12.75,2026-05-10,RET
100128,236.16,2026-05-10,DEP
100129,121.46,2026-05-10,RET
100129,25.11,2026-05-10,DEP
100130,45.55,2026-05-10,PAG
100130,175.56,2026-05-10,RET
100131,340.2,2026-05-10,PAG
100132,233.57,2026-05-10,PAG
100133,223.95,2026-05-10,RET
100134,19.62,2026-05-10,RET
100134,197.01,2026-05-10,PAG
100135,291.22,2026-05-10,PAG
100135,362.5,2026-05-10,RET
100135,96.6,2026-05-10,DEP
100136,213.68,2026-05-10,RET
100136,232.68,2026-05-10,PAG
100137,30.09,2026-05-10,PAG
100137,169.77,2026-05-10,RET
100138,51.19,2026-05-10,PAG
100138,375.89,2026-05-10,RET
100139,182.09,2026-05-10,RET
100140,13.22,2026-05-10,RET
100140,291.85,2026-05-10,RET
