NRO_CLIENTE,MONTO,FECHA,TIPO_OPERACION
100000,212.13,2026-05-10,DEP
100000,80.81,2026-05-10,PAG
100001,104.71,2026-05-10,RET
100001,110.59,2026-05-10,RET
100002,36.21,2026-05-10,RET
100002,186.3,2026-05-10,DEP
100003,396.14,2026-05-10,DEP
100003,123.49,2026-05-10,DEP
100004,263.23,2026-05-10,PAG
100004,305.04,2026-05-10,DEP
100005,165.08,2026-05-10,RET
100006,223.32,2026-05-10,DEP
100007,256.52,2026-05-10,PAG
100008,72.7,2026-05-10,RET
100009,338.91,2026-05-10,PAG
100010,314.83,2026-05-10,PAG
100010,391.05,2026-05-10,DEP
100010,358.44,2026-05-10,DEP
100011,95.76,2026-05-10,PAG
100011,355.58,2026-05-10,RET
100012,112.08,2026-05-10,DEP
100013,275.35,2026-05-10,RET
100013,360.23,2026-05-10,PAG
100014,264.95,2026-05-10,DEP
100015,371.86,2026-05-10,RET
100015,11.18,2026-05-10,DEP
100016,236.88,2026-05-10,PAG
100016,329.26,2026-05-10,DEP
100017,123.21,2026-05-10,PAG
100018,99.99,2026-05-10,RET
100018,272.43,2026-05-10,PAG
100019,136.03,2026-05-10,PAG
100019,60.28,2026-05-10,PAG
100020,291.04,2026-05-10,PAG
100021,299.46,2026-05-10,RET
100021,26.21,2026-05-10,RET
100022,96.7,2026-05-10,DEP
100022,139.53,2026-05-10,PAG
100023,382.17,2026-05-10,RET
100024,387.72,2026-05-10,RET
100024,16.7,2026-05-10,RET
100025,314.5,2026-05-10,RET
100025,198.79,2026-05-10,RET
100026,223.45,2026-05-10,RET
100026,175.58,2026-05-10,PAG
100027,236.42,2026-05-10,RET
100027,38.85,2026-05-10,PAG
100028,121.67,2026-05-10,DEP
100028,286.68,2026-05-10,DEP
100029,110.85,2026-05-10,RET
100030,286.11,2026-05-10,PAG
100031,65.94,2026-05-10,RET
100032,130.09,2026-05-10,DEP
100033,41.15,2026-05-10,RET
100034,180.67,2026-05-10,RET
100034,45.38,2026-05-10,DEP
100035,79.02,2026-05-10,RET
100036,225.01,2026-05-10,PAG
100036,166.18,2026-05-10,DEP
100037,40.4,2026-05-10,PAG
100037,41.76,2026-05-10,PAG
100038,314.85,2026-05-10,RET
100039,9.87,2026-05-10,RET
100039,158.18,2026-05-10,DEP
100040,291.31,2026-05-10,PAG
100040,362.56,2026-05-10,DEP
100041,230.92,2026-05-10,DEP
100041,275.7,2026-05-10,DEP
100042,59.84,2026-05-10,RET
100042,111.02,2026-05-10,DEP
100042,29.99,2026-05-10,RET
100043,114.0,2026-05-10,RET
100044,196.27,2026-05-10,DEP
100044,147.64,2026-05-10,DEP
100045,289.76,2026-05-10,RET
100046,239.55,2026-05-10,DEP
100047,185.86,2026-05-10,DEP
100047,125.34,2026-05-10,RET
100047,136.23,2026-05-10,PAG
100048,155.06,2026-05-10,RET
100049,178.89,2026-05-10,RET
100049,327.11,2026-05-10,PAG
100050,389.82,2026-05-10,DEP
100050,123.67,2026-05-10,PAG
100051,379.18,2026-05-10,DEP
100051,194.21,2026-05-10,DEP
100052,386.01,2026-05-10,RET
100052,120.12,2026-05-10,PAG
100052,255.0,2026-05-10,PAG
100053,313.88,2026-05-10,RET
100053,153.54,2026-05-10,RET
100054,149.18,2026-05-10,PAG
100055,83.92,2026-05-10,PAG
100055,76.07,2026-05-10,PAG
100056,15.63,2026-05-10,PAG
100056,187.34,2026-05-10,PAG
100057,87.81,2026-05-10,RET
100057,333.36,2026-05-10,DEP
100058,328.49,2026-05-10,RET
100059,270.83,2026-05-10,DEP
100059,255.17,2026-05-10,DEP
100060,104.81,2026-05-10,DEP
100061,287.52,2026-05-10,RET
100062,34.22,2026-05-10,PAG
100062,194.3,2026-05-10,RET
100062,216.08,2026-05-10,PAG
100063,170.23,2026-05-10,DEP
100063,317.33,2026-05-10,RET
100064,282.15,2026-05-10,PAG
100064,239.56,2026-05-10,DEP
100065,48.2,2026-05-10,DEP
100065,264.75,2026-05-10,RET
100066,70.7,2026-05-10,PAG
100067,22.5,2026-05-10,PAG
100067,272.6,2026-05-10,RET
100068,386.89,2026-05-10,RET
100068,386.46,2026-05-10,RET
100069,46.85,2026-05-10,DEP
100069,107.2,2026-05-10,PAG
100070,300.01,2026-05-10,PAG
100070,234.3,2026-05-10,PAG
100071,92.31,2026-05-10,RET
100072,159.5,2026-05-10,PAG
100072,237.49,2026-05-10,PAG
100073,64.54,2026-05-10,DEP
100074,195.69,2026-05-10,RET
100074,169.31,2026-05-10,DEP
100075,50.85,2026-05-10,PAG
100076,60.96,2026-05-10,RET
100076,140.51,2026-05-10,DEP
100077,210.84,2026-05-10,RET
100077,193.08,2026-05-10,RET
100078,290.19,2026-05-10,RET
100079,130.97,2026-05-10,RET
100079,22.65,2026-05-10,PAG
100080,50.46,2026-05-10,RET
100080,260.95,2026-05-10,PAG
100081,321.02,2026-05-10,PAG
100081,101.35,2026-05-10,DEP
100082,223.0,2026-05-10,RET
100082,226.14,2026-05-10,RET
100083,96.58,2026-05-10,RET
100083,253.76,2026-05-10,DEP
100084,257.99,2026-05-10,RET
100084,161.26,2026-05-10,PAG
100084,247.57,2026-05-10,DEP
100085,182.58,2026-05-10,RET
100085,158.59,2026-05-10,PAG
100086,89.84,2026-05-10,RET
100086,302.17,2026-05-10,DEP
100087,233.05,2026-05-10,PAG
100087,78.85,2026-05-10,RET
100088,82.84,2026-05-10,DEP
100088,108.63,2026-05-10,RET
100089,213.45,2026-05-10,PAG
100090,128.79,2026-05-10,RET
100090,246.47,2026-05-10,PAG
100091,50.12,2026-05-10,RET
100091,338.98,2026-05-10,PAG
100092,73.15,2026-05-10,PAG
100093,283.87,2026-05-10,RET
100094,367.88,2026-05-10,PAG
100094,38.48,2026-05-10,DEP
100095,128.71,2026-05-10,DEP
100095,125.63,2026-05-10,DEP
100096,152.46,2026-05-10,DEP
100097,206.78,2026-05-10,RET
100097,240.59,2026-05-10,PAG
100098,156.57,2026-05-10,DEP
100098,197.23,2026-05-10,PAG
100099,278.91,2026-05-10,PAG
100100,372.62,2026-05-10,DEP
100100,224.19,2026-05-10,RET
100101,119.09,2026-05-10,DEP
100102,129.26,2026-05-10,RET
100102,249.67,2026-05-10,RET
100103,380.98,2026-05-10,RET
100103,58.93,2026-05-10,RET
100104,385.71,2026-05-10,PAG
100104,262.96,2026-05-10,RET
100105,275.46,2026-05-10,RET
100105,285.51,2026-05-10,RET
100105,198.04,2026-05-10,DEP
100106,228.33,2026-05-10,DEP
100107,120.38,2026-05-10,RET
100107,93.81,2026-05-10,RET
100108,71.44,2026-05-10,RET
100109,228.43,2026-05-10,RET
100109,222.14,2026-05-10,DEP
100110,231.22,2026-05-10,RET
100110,311.17,2026-05-10,RET
100111,219.11,2026-05-10,DEP
100111,305.2,2026-05-10,RET
100112,220.81,2026-05-10,RET
100113,45.45,2026-05-10,PAG
100114,301.78,2026-05-10,RET
100114,350.55,2026-05-10,DEP
100115,182.64,2026-05-10,RET
100115,345.57,2026-05-10,DEP
100116,178.43,2026-05-10,DEP
100117,311.37,2026-05-10,DEP
100117,87.9,2026-05-10,PAG
100118,237.23,2026-05-10,RET
100119,345.11,2026-05-10,PAG
100119,254.94,2026-05-10,DEP
100120,248.38,2026-05-10,DEP
100120,326.34,2026-05-10,DEP
100121,230.18,2026-05-10,PAG
100122,116.03,2026-05-10,PAG
100122,71.51,2026-05-10,PAG
100123,120.59,2026-05-10,PAG
100123,110.6,2026-05-10,PAG
100124,394.27,2026-05-10,PAG
100124,327.0,2026-05-10,DEP
100124,385.29,2026-05-10,RET
100125,367.91,2026-05-10,RET
100126,347.48,2026-05-10,DEP
100127,282.06,2026-05-10,DEP
100128,103.62,2026-05-10,PAG
100129,132.23,2026-05-10,DEP
100129,305.78,2026-05-10,PAG
100130,160.12,2026-05-10,DEP
100130,233.08,2026-05-10,RET
100131,252.99,2026-05-10,RET
100132,183.54,2026-05-10,PAG
100132,318.87,2026-05-10,DEP
100133,164.13,2026-05-10,PAG
100133,114.9,2026-05-10,RET
100134,184.6,2026-05-10,RET
100135,134.28,2026-05-10,DEP
100135,348.22,2026-05-10,PAG
100136,41.79,2026-05-10,RET
100136,255.76,2026-05-10,PAG
100137,146.5,2026-05-10,DEP
100137,319.29,2026-05-10,RET
100138,91.04,2026-05-10,RET
100139,330.81,2026-05-10,RET
100139,111.07,2026-05-10,RET
100140,138.41,2026-05-10,PAG
100140,56.58,2026-05-10,RET
100141,316.38,2026-05-10,PAG
100142,306.09,2026-05-10,DEP
100142,44.33,2026-05-10,RET
100143,11.43,2026-05-10,DEP
100143,179.31,2026-05-10,DEP
100144,396.78,2026-05-10,RET
100144,84.92,2026-05-10,PAG
100145,364.22,2026-05-10,PAG
100145,124.24,2026-05-10,RET
100146,41.87,2026-05-10,RET
100147,103.9,2026-05-10,RET
100148,267.48,2026-05-10,PAG
100148,70.38,2026-05-10,RET
100149,252.11,2026-05-10,PAG
100149,281.28,2026-05-10,DEP
100150,174.55,2026-05-10,DEP
100150,282.96,2026-05-10,DEP
100151,89.3,2026-05-10,DEP
100152,57.42,2026-05-10,DEP
100152,210.18,2026-05-10,RET
100153,8.67,2026-05-10,PAG
100153,140.71,2026-05-10,DEP
100154,395.32,2026-05-10,RET
100155,279.14,2026-05-10,RET
100156,32.98,2026-05-10,RET
